Title,Price,Area,Category,Size,Bedrooms,Bathrooms
"M City Serviced Residence Jalan Ampang 886sf, Fully Furnished Tenanted",RM 690 000,AMPANG,Apartments,886 sq.ft.,2 Bedrooms,2 Bathrooms
Cheapest fully furnished suria jelatek residence ampang hilir,RM 420 000,AMPANG,Apartments,858 sq.ft.,3 Bedrooms,2 Bathrooms
3bed 2bath Suria Jelatek Condo 5 min to LRT and KLCC,RM 420 000,AMPANG,Apartments,860 sq.ft.,3 Bedrooms,2 Bathrooms
"[30% Below,1037sf] Direct Subsale not Auction!! Arte Plus Jalan Ampang",RM 568 444,AMPANG,Apartments,1037 sq.ft.,3 Bedrooms,2 Bathrooms
HOT area | Tiara Ampang | Near Ampang Point | 1650sqft | BELOW MARKET,RM 618 000,AMPANG,Apartments,1650 sq.ft.,4 Bedrooms,2 Bathrooms
HOT area | City Garden Orchid Court | Taman Nirwana | Lower Floor Unit,RM 428 000,AMPANG,Apartments,1250 sq.ft.,4 Bedrooms,2 Bathrooms
100%LOAN SemiFurnish 705sf The Elements Condo Ampang KL City,RM 450 000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
Tiara Duta Condo G Floor 3R2B Taman Dangan Jaya Ampang,RM 368 000,AMPANG,Apartments,957 sq.ft.,3 Bedrooms,2 Bathrooms
Cheapest Suria Jelatek Residence Ampang Hilir Close to LRT Station,RM 525 000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
1865sf LAKE VIEW Impiana On The Waterfront Condominium,RM 680 000,AMPANG,Apartments,1865 sq.ft.,5 Bedrooms,4 Bathrooms
FULLY FURNISHED Suria Jelatek Residence Condo Ampang Hilir KL,RM 420 000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
"VIEW LRT JELATEK I Suria Jelatek Residence, Jln Jelatek KL",RM 530 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
Rumah Untuk Dijual,RM 300 000,AMPANG,Apartments,602 sq.ft.,3 Bedrooms,2 Bathrooms
Tara 33 Condo Ampang Hilir 2750sf Free Hold RENO SUPER BELOW MV,RM 1 300 000,AMPANG,Apartments,2750 sq.ft.,3 Bedrooms,3 Bathrooms
Mei On The Madge Condo Duplex (Vista Permai Jalan Ampang Taman U Thant,RM 1 000 000,AMPANG,Apartments,1882 sq.ft.,5 Bedrooms,3 Bathrooms
Luxury Condo nearby embassy,RM 2 488 000,AMPANG,Apartments,2260 sq.ft.,4 Bedrooms,4 Bathrooms
[Low Booking] Mei On The Madge Vista Permai Condominium Near KLCC,RM 545 000,AMPANG,Apartments,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Awesome Offer Unit For Sale Grab It,RM 920 000,AMPANG,Apartments,1100 sq.ft.,2 Bedrooms,2 Bathrooms
MURAH Shop Apartment Pandan Mewah,RM 220 000,AMPANG,Apartments,750 sq.ft.,3 Bedrooms,1 Bathroom
[BMV 44%] Astoria Ampang 747sf,RM 392 000,AMPANG,Apartments,747 sq.ft.,2 Bedrooms,2 Bathrooms
"Neu Suites 3rdNvenue, Embassy Row Ampang",RM 459 800,AMPANG,Apartments,430 sq.ft.,2 Bedrooms,2 Bathrooms
Ampang Suria Jelatek Residence - 1420sf 2 carparks - Near LRT,RM 600 000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
BrandNew Complete HonResidence Ampang.3R3B 5MIN To KLCC+Cashback 120K,RM 630 000,AMPANG,Apartments,1335 sq.ft.,3 Bedrooms,3 Bathrooms
Cantik!!!Cantik!!!Full LoAN!!!3 CAR PARK,RM 630 000,AMPANG,Apartments,1300 sq.ft.,3 Bedrooms,3 Bathrooms
