Sex,Age group,Year,State,Number of death
Male,Under 1 year,2001,Johor,263
Male,Under 1 year,2001,Kedah,173
Male,Under 1 year,2001,Kelantan,198
Male,Under 1 year,2001,Melaka,59
Male,Under 1 year,2001,Negeri Sembilan,69
Male,Under 1 year,2001,Pulau Pinang,97
Male,Under 1 year,2001,Pahang,126
Male,Under 1 year,2001,Perak,159
Male,Under 1 year,2001,Perlis,22
Male,Under 1 year,2001,Sabah,
Male,Under 1 year,2001,Sarawak,131
Male,Under 1 year,2001,Selangor,254
Male,Under 1 year,2001,Terengganu,126
Male,Under 1 year,2001,W.P. Kuala Lumpur,96
Male,Under 1 year,2001,W.P. Labuan,2
Male,1-4,2001,Johor,77
Male,1-4,2001,Kedah,62
Male,1-4,2001,Kelantan,71
Male,1-4,2001,Melaka,18
Male,1-4,2001,Negeri Sembilan,25
Male,1-4,2001,Pulau Pinang,13
Male,1-4,2001,Pahang,51
Male,1-4,2001,Perak,56
Male,1-4,2001,Perlis,4
Male,1-4,2001,Sabah,
Male,1-4,2001,Sarawak,54
Male,1-4,2001,Selangor,64
Male,1-4,2001,Terengganu,30
Male,1-4,2001,W.P. Kuala Lumpur,22
Male,1-4,2001,W.P. Labuan,2
Male,5-9,2001,Johor,56
Male,5-9,2001,Kedah,44
Male,5-9,2001,Kelantan,54
Male,5-9,2001,Melaka,18
Male,5-9,2001,Negeri Sembilan,11
Male,5-9,2001,Pulau Pinang,15
Male,5-9,2001,Pahang,30
Male,5-9,2001,Perak,47
Male,5-9,2001,Perlis,8
Male,5-9,2001,Sabah,
Male,5-9,2001,Sarawak,49
Male,5-9,2001,Selangor,67
Male,5-9,2001,Terengganu,44
Male,5-9,2001,W.P. Kuala Lumpur,19
Male,5-9,2001,W.P. Labuan,1
Male,10-14,2001,Johor,64
Male,10-14,2001,Kedah,61
Male,10-14,2001,Kelantan,55
Male,10-14,2001,Melaka,8
Male,10-14,2001,Negeri Sembilan,25
Male,10-14,2001,Pulau Pinang,22
Male,10-14,2001,Pahang,46
Male,10-14,2001,Perak,40
Male,10-14,2001,Perlis,4
Male,10-14,2001,Sabah,
Male,10-14,2001,Sarawak,36
Male,10-14,2001,Selangor,65
Male,10-14,2001,Terengganu,34
Male,10-14,2001,W.P. Kuala Lumpur,15
Male,10-14,2001,W.P. Labuan,2
Male,15-19,2001,Johor,192
Male,15-19,2001,Kedah,113
Male,15-19,2001,Kelantan,125
Male,15-19,2001,Melaka,58
Male,15-19,2001,Negeri Sembilan,68
Male,15-19,2001,Pulau Pinang,79
Male,15-19,2001,Pahang,105
Male,15-19,2001,Perak,159
Male,15-19,2001,Perlis,16
Male,15-19,2001,Sabah,
Male,15-19,2001,Sarawak,87
Male,15-19,2001,Selangor,234
Male,15-19,2001,Terengganu,97
Male,15-19,2001,W.P. Kuala Lumpur,43
Male,15-19,2001,W.P. Labuan,3
Male,20-24,2001,Johor,242
Male,20-24,2001,Kedah,139
Male,20-24,2001,Kelantan,132
Male,20-24,2001,Melaka,65
Male,20-24,2001,Negeri Sembilan,84
Male,20-24,2001,Pulau Pinang,77
Male,20-24,2001,Pahang,143
Male,20-24,2001,Perak,190
Male,20-24,2001,Perlis,23
Male,20-24,2001,Sabah,
Male,20-24,2001,Sarawak,120
Male,20-24,2001,Selangor,213
Male,20-24,2001,Terengganu,113
Male,20-24,2001,W.P. Kuala Lumpur,82
Male,20-24,2001,W.P. Labuan,9
Male,25-29,2001,Johor,232
Male,25-29,2001,Kedah,111
Male,25-29,2001,Kelantan,137
Male,25-29,2001,Melaka,47
Male,25-29,2001,Negeri Sembilan,70
Male,25-29,2001,Pulau Pinang,85
Male,25-29,2001,Pahang,147
Male,25-29,2001,Perak,145
Male,25-29,2001,Perlis,17
Male,25-29,2001,Sabah,
Male,25-29,2001,Sarawak,129
Male,25-29,2001,Selangor,261
Male,25-29,2001,Terengganu,128
Male,25-29,2001,W.P. Kuala Lumpur,72
Male,25-29,2001,W.P. Labuan,1
Male,30-34,2001,Johor,287
Male,30-34,2001,Kedah,165
Male,30-34,2001,Kelantan,176
Male,30-34,2001,Melaka,64
Male,30-34,2001,Negeri Sembilan,87
Male,30-34,2001,Pulau Pinang,91
Male,30-34,2001,Pahang,155
Male,30-34,2001,Perak,206
Male,30-34,2001,Perlis,16
Male,30-34,2001,Sabah,
Male,30-34,2001,Sarawak,119
Male,30-34,2001,Selangor,291
Male,30-34,2001,Terengganu,125
Male,30-34,2001,W.P. Kuala Lumpur,129
Male,30-34,2001,W.P. Labuan,4
Male,35-39,2001,Johor,333
Male,35-39,2001,Kedah,171
Male,35-39,2001,Kelantan,173
Male,35-39,2001,Melaka,81
Male,35-39,2001,Negeri Sembilan,115
