Year,Quarter,Blocks of countries,Category,Countries,Credit RM million,Debit RM million,Net RM million
2008,1Q,East Asia,of which,"China, People's Republic of",269,286,-17
2008,1Q,East Asia,of which,"Hong Kong, SAR",551,1295,-744
2008,1Q,East Asia,of which,Japan,1952,1291,661
2008,1Q,East Asia,of which,"Korea, Republic of",518,269,250
2008,1Q,East Asia,of which,Taiwan,122,190,-68
2008,1Q,East Asia,Total East Asia,Total Country,3415,3335,80
2008,1Q,Europe,of which,Denmark,104,31,73
2008,1Q,Europe,of which,France,237,285,-48
2008,1Q,Europe,of which,Germany,400,593,-193
2008,1Q,Europe,of which,Luxembourg,-1,23,-24
2008,1Q,Europe,of which,Netherlands,1499,717,782
2008,1Q,Europe,of which,Switzerland,1305,106,1199
2008,1Q,Europe,of which,United Kingdom,650,365,285
2008,1Q,Europe,Total Europe,Total Country,4979,4829,150
2008,1Q,Latin America,of which,Bermuda,693,20,673
2008,1Q,Latin America,of which,Cayman Islands,433,322,111
2008,1Q,Latin America,of which,Virgin Islands (British),120,30,90
2008,1Q,Latin America,Total Latin America,Total Country,2382,2318,64
2008,1Q,North America,of which,United States,4231,1580,2651
2008,1Q,North America,Total North America,Total Country,4282,1604,2678
2008,1Q,Oceania,of which,Australia,323,278,45
2008,1Q,Oceania,Total Oceania,Total Country,354,340,13
2008,1Q,Other Block of Countries,Total Other Block of Countries,Total Country,790,1151,-361
2008,1Q,Southeast Asia,of which,Singapore,3552,2532,1019
2008,1Q,Southeast Asia,of which,Thailand,496,495,1
2008,1Q,Southeast Asia,Total Southeast Asia,Total Country,4297,3254,1043
2008,2Q,East Asia,of which,"China, People's Republic of",170,203,-33
2008,2Q,East Asia,of which,"Hong Kong, SAR",2376,902,1474
2008,2Q,East Asia,of which,Japan,2155,1412,742
2008,2Q,East Asia,of which,"Korea, Republic of",277,68,209
2008,2Q,East Asia,of which,Taiwan,978,84,893
2008,2Q,East Asia,Total East Asia,Total Country,5960,2670,3290
2008,2Q,Europe,of which,Denmark,20,10,10
2008,2Q,Europe,of which,France,427,222,205
2008,2Q,Europe,of which,Germany,882,784,98
2008,2Q,Europe,of which,Luxembourg,-10,64,-74
2008,2Q,Europe,of which,Netherlands,1646,619,1027
2008,2Q,Europe,of which,Switzerland,852,1018,-165
2008,2Q,Europe,of which,United Kingdom,1213,459,754
2008,2Q,Europe,Total Europe,Total Country,6156,3910,2246
2008,2Q,Latin America,of which,Bermuda,560,31,529
2008,2Q,Latin America,of which,Cayman Islands,4001,322,3679
2008,2Q,Latin America,of which,Virgin Islands (British),259,160,99
2008,2Q,Latin America,Total Latin America,Total Country,6158,1533,4625
2008,2Q,North America,of which,United States,6223,1392,4831
2008,2Q,North America,Total North America,Total Country,6253,1431,4822
2008,2Q,Oceania,of which,Australia,255,408,-152
2008,2Q,Oceania,Total Oceania,Total Country,313,462,-149
2008,2Q,Other Block of Countries,Total Other Block of Countries,Total Country,1190,940,249
2008,2Q,Southeast Asia,of which,Singapore,3030,2404,626
2008,2Q,Southeast Asia,of which,Thailand,714,640,75
2008,2Q,Southeast Asia,Total Southeast Asia,Total Country,4068,3386,682
2008,3Q,East Asia,of which,"China, People's Republic of",312,210,103
2008,3Q,East Asia,of which,"Hong Kong, SAR",1177,1312,-135
2008,3Q,East Asia,of which,Japan,1988,1871,116
2008,3Q,East Asia,of which,"Korea, Republic of",223,165,58
2008,3Q,East Asia,of which,Taiwan,423,227,196
2008,3Q,East Asia,Total East Asia,Total Country,4123,3788,336
2008,3Q,Europe,of which,Denmark,67,8,59
2008,3Q,Europe,of which,France,193,131,62
2008,3Q,Europe,of which,Germany,1178,584,594
2008,3Q,Europe,of which,Luxembourg,135,75,61
2008,3Q,Europe,of which,Netherlands,1644,1938,-294
2008,3Q,Europe,of which,Switzerland,364,118,247
2008,3Q,Europe,of which,United Kingdom,175,1042,-866
2008,3Q,Europe,Total Europe,Total Country,3883,4760,-877
2008,3Q,Latin America,of which,Bermuda,-23,202,-225
2008,3Q,Latin America,of which,Cayman Islands,294,210,84
2008,3Q,Latin America,of which,Virgin Islands (British),844,29,815
2008,3Q,Latin America,Total Latin America,Total Country,2840,2254,586
2008,3Q,North America,of which,United States,425,2113,-1688
2008,3Q,North America,Total North America,Total Country,433,2136,-1703
2008,3Q,Oceania,of which,Australia,343,94,249
2008,3Q,Oceania,Total Oceania,Total Country,374,154,220
2008,3Q,Other Block of Countries,Total Other Block of Countries,Total Country,1061,1108,-47
2008,3Q,Southeast Asia,of which,Singapore,3400,2749,650
2008,3Q,Southeast Asia,of which,Thailand,1381,332,1049
2008,3Q,Southeast Asia,Total Southeast Asia,Total Country,5206,3418,1788
2008,4Q,East Asia,of which,"China, People's Republic of",364,215,149
2008,4Q,East Asia,of which,"Hong Kong, SAR",1497,1316,181
2008,4Q,East Asia,of which,Japan,1817,1554,263
2008,4Q,East Asia,of which,"Korea, Republic of",-132,378,-510
2008,4Q,East Asia,of which,Taiwan,131,871,-740
2008,4Q,East Asia,Total East Asia,Total Country,3677,4337,-659
2008,4Q,Europe,of which,Denmark,497,3,494
2008,4Q,Europe,of which,France,145,202,-58
2008,4Q,Europe,of which,Germany,1565,776,789
2008,4Q,Europe,of which,Luxembourg,127,142,-15
2008,4Q,Europe,of which,Netherlands,2337,1353,983
2008,4Q,Europe,of which,Switzerland,425,173,253
2008,4Q,Europe,of which,United Kingdom,1072,623,449
2008,4Q,Europe,Total Europe,Total Country,7298,4022,3277
2008,4Q,Latin America,of which,Bermuda,529,27,502
2008,4Q,Latin America,of which,Cayman Islands,222,323,-101
2008,4Q,Latin America,of which,Virgin Islands (British),327,57,270
2008,4Q,Latin America,Total Latin America,Total Country,1703,1488,215
2008,4Q,North America,of which,United States,591,2383,-1792
2008,4Q,North America,Total North America,Total Country,615,2398,-1783
2008,4Q,Oceania,of which,Australia,334,134,200
2008,4Q,Oceania,Total Oceania,Total Country,395,186,209
2008,4Q,Other Block of Countries,Total Other Block of Countries,Total Country,1458,570,888
2008,4Q,Southeast Asia,of which,Singapore,4187,2192,1995
2008,4Q,Southeast Asia,of which,Thailand,949,1122,-173
2008,4Q,Southeast Asia,Total Southeast Asia,Total Country,5604,3560,2044
2009,1Q,East Asia,of which,"China, People's Republic of",154,437,-283
2009,1Q,East Asia,of which,"Hong Kong, SAR",-117,1202,-1319
2009,1Q,East Asia,of which,Japan,1931,1849,82
2009,1Q,East Asia,of which,"Korea, Republic of",201,102,99
2009,1Q,East Asia,of which,Taiwan,412,134,278
2009,1Q,East Asia,Total East Asia,Total Country,2581,3727,-1146
2009,1Q,Europe,of which,Denmark,29,19,10
2009,1Q,Europe,of which,France,227,144,83
2009,1Q,Europe,of which,Germany,916,759,157
2009,1Q,Europe,of which,Luxembourg,217,132,85
2009,1Q,Europe,of which,Netherlands,2058,1354,704
2009,1Q,Europe,of which,Switzerland,346,188,158
2009,1Q,Europe,of which,United Kingdom,883,224,659
2009,1Q,Europe,Total Europe,Total Country,5348,3421,1928
2009,1Q,Latin America,of which,Bermuda,356,24,332
2009,1Q,Latin America,of which,Cayman Islands,125,45,80
2009,1Q,Latin America,of which,Virgin Islands (British),289,34,255
2009,1Q,Latin America,Total Latin America,Total Country,2089,473,1616
2009,1Q,North America,of which,United States,2553,2133,420
2009,1Q,North America,Total North America,Total Country,2678,2140,539
2009,1Q,Oceania,of which,Australia,90,202,-112
2009,1Q,Oceania,Total Oceania,Total Country,159,331,-172
2009,1Q,Other Block of Countries,Total Other Block of Countries,Total Country,1718,622,1096
2009,1Q,Southeast Asia,of which,Singapore,1903,2246,-342
2009,1Q,Southeast Asia,of which,Thailand,559,1093,-535
2009,1Q,Southeast Asia,Total Southeast Asia,Total Country,2628,3834,-1206
2009,2Q,East Asia,of which,"China, People's Republic of",321,180,141
2009,2Q,East Asia,of which,"Hong Kong, SAR",916,1206,-290
2009,2Q,East Asia,of which,Japan,1286,1828,-542
2009,2Q,East Asia,of which,"Korea, Republic of",315,76,239
2009,2Q,East Asia,of which,Taiwan,-24,150,-174
2009,2Q,East Asia,Total East Asia,Total Country,2815,3438,-623
2009,2Q,Europe,of which,Denmark,63,74,-11
2009,2Q,Europe,of which,France,255,211,44
2009,2Q,Europe,of which,Germany,861,762,99
2009,2Q,Europe,of which,Luxembourg,328,158,170
2009,2Q,Europe,of which,Netherlands,405,1159,-754
2009,2Q,Europe,of which,Switzerland,-4059,203,-4262
2009,2Q,Europe,of which,United Kingdom,692,384,308
2009,2Q,Europe,Total Europe,Total Country,3830,3722,108
2009,2Q,Latin America,of which,Bermuda,407,11,396
2009,2Q,Latin America,of which,Cayman Islands,236,162,74
2009,2Q,Latin America,of which,Virgin Islands (British),268,28,239
2009,2Q,Latin America,Total Latin America,Total Country,2814,464,2351
2009,2Q,North America,of which,United States,1874,2683,-809
2009,2Q,North America,Total North America,Total Country,1911,2689,-778
2009,2Q,Oceania,of which,Australia,106,216,-110
2009,2Q,Oceania,Total Oceania,Total Country,117,234,-117
2009,2Q,Other Block of Countries,Total Other Block of Countries,Total Country,962,734,229
2009,2Q,Southeast Asia,of which,Singapore,2757,3215,-458
2009,2Q,Southeast Asia,of which,Thailand,513,507,6
2009,2Q,Southeast Asia,Total Southeast Asia,Total Country,3590,4053,-464
2009,3Q,East Asia,of which,"China, People's Republic of",224,293,-69
2009,3Q,East Asia,of which,"Hong Kong, SAR",3096,1305,1791
2009,3Q,East Asia,of which,Japan,2546,1636,910
2009,3Q,East Asia,of which,"Korea, Republic of",417,162,256
2009,3Q,East Asia,of which,Taiwan,110,87,22
2009,3Q,East Asia,Total East Asia,Total Country,6397,3483,2914
2009,3Q,Europe,of which,Denmark,60,76,-16
2009,3Q,Europe,of which,France,318,269,48
2009,3Q,Europe,of which,Germany,201,1020,-819
2009,3Q,Europe,of which,Luxembourg,18,237,-220
2009,3Q,Europe,of which,Netherlands,1977,868,1109
2009,3Q,Europe,of which,Switzerland,321,112,209
2009,3Q,Europe,of which,United Kingdom,916,242,674
2009,3Q,Europe,Total Europe,Total Country,4402,3442,960
2009,3Q,Latin America,of which,Bermuda,650,55,595
2009,3Q,Latin America,of which,Cayman Islands,-376,133,-509
2009,3Q,Latin America,of which,Virgin Islands (British),167,13,154
2009,3Q,Latin America,Total Latin America,Total Country,1486,1220,266
2009,3Q,North America,of which,United States,888,1365,-477
2009,3Q,North America,Total North America,Total Country,912,1411,-499
2009,3Q,Oceania,of which,Australia,243,118,125
2009,3Q,Oceania,Total Oceania,Total Country,262,130,132
2009,3Q,Other Block of Countries,Total Other Block of Countries,Total Country,1022,1054,-32
2009,3Q,Southeast Asia,of which,Singapore,3469,2819,650
2009,3Q,Southeast Asia,of which,Thailand,483,1003,-521
2009,3Q,Southeast Asia,Total Southeast Asia,Total Country,4415,4413,2
2009,4Q,East Asia,of which,"China, People's Republic of",94,308,-214
2009,4Q,East Asia,of which,"Hong Kong, SAR",3177,1756,1421
2009,4Q,East Asia,of which,Japan,1792,1678,114
2009,4Q,East Asia,of which,"Korea, Republic of",199,397,-198
2009,4Q,East Asia,of which,Taiwan,-56,136,-192
2009,4Q,East Asia,Total East Asia,Total Country,5208,4277,931
2009,4Q,Europe,of which,Denmark,483,7,476
2009,4Q,Europe,of which,France,106,238,-132
2009,4Q,Europe,of which,Germany,1049,829,219
2009,4Q,Europe,of which,Luxembourg,557,197,360
2009,4Q,Europe,of which,Netherlands,1961,1301,660
2009,4Q,Europe,of which,Switzerland,129,174,-45
2009,4Q,Europe,of which,United Kingdom,196,542,-346
2009,4Q,Europe,Total Europe,Total Country,5822,4294,1528
2009,4Q,Latin America,of which,Bermuda,-141,40,-180
2009,4Q,Latin America,of which,Cayman Islands,157,212,-55
2009,4Q,Latin America,of which,Virgin Islands (British),937,84,853
2009,4Q,Latin America,Total Latin America,Total Country,1739,1939,-200
2009,4Q,North America,of which,United States,-1483,5351,-6834
2009,4Q,North America,Total North America,Total Country,-1433,5373,-6806
2009,4Q,Oceania,of which,Australia,868,167,701
2009,4Q,Oceania,Total Oceania,Total Country,885,215,671
