,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
0,The Hipster @ Taman Desa,4 200,Taman Desa,Condominium,5,2,6,1842 ,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track",Kuala Lumpur
1,Segar Courts,2 300,Cheras,Condominium,3,1,2,1170 ,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna",Kuala Lumpur
3,Sentul Point Suite Apartment,1 700,tul,Apartment,2,1,2,743 ,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift",Kuala Lumpur
4,Arte Mont Kiara,1 299,Mont Kiara,Service Residence,1,1,1,494 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
5,Residensi Vista Wirajaya,1 500,tapak,Apartment,3,1,2,884 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall",Kuala Lumpur
6,Sky Meridien,2 900,tul,Service Residence,3,2,2,982 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
7,Arte Plus Jalan Ampang,1 550,Ampang,Service Residence,1,1,1,700 ,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall",Kuala Lumpur
8,Nova I,1 400,mbut,Apartment,2,1,1,750 ,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool",Kuala Lumpur
9,Sofiya Residences,1 350,Desa ParkCity,Condominium,3,1,2,862 ,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium",Kuala Lumpur
11,PV9 Residences @ Taman Melati,2 000,tapak,Service Residence,4,2,2,1100 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
12,Arte Plus Jalan Ampang,1 500,Ampang,Service Residence,1,1,1,700 ,Fully Furnished,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court",Kuala Lumpur
13,Maxim Citilights,1 300,tul,Service Residence,3,1,2,1009 ,Fully Furnished,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area",Kuala Lumpur
15,Legasi Kampong Bharu,3 200,City,Apartment,3,1,2,950 ,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
16,Legasi Kampong Bharu,3 200,City,Apartment,3,1,2,950 ,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
17,Majestic Maxim,1 400,Cheras,Service Residence,2,2,2,650 ,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",Kuala Lumpur
18,Desa Villas,2 500,Wangsa Maju,Condominium,4,2,2,1784 ,Not Furnished,"Parking, Security, Lift, Gymnasium",Kuala Lumpur
